"filename", "language", "HTML", "XML", "Go", "Go Checksum File", "comment", "blank", "total"
"d:\working\UniqueStudioNew\week4\dailyReport\index.go", "Go", 0, 0, 1, 0, 0, 1, 2
"d:\working\UniqueStudioNew\week4\dbHandle\postgresqlHandle.go", "Go", 0, 0, 13, 0, 0, 5, 18
"d:\working\UniqueStudioNew\week4\dbHandle\redisHandle.go", "Go", 0, 0, 23, 0, 0, 6, 29
"d:\working\UniqueStudioNew\week4\go.mod", "XML", 0, 34, 0, 0, 0, 3, 37
"d:\working\UniqueStudioNew\week4\go.sum", "Go Checksum File", 0, 0, 0, 212, 0, 1, 213
"d:\working\UniqueStudioNew\week4\thirdParty\main.go", "Go", 0, 0, 7, 0, 0, 4, 11
"d:\working\UniqueStudioNew\week4\web\handlers\handleCahche.go", "Go", 0, 0, 1, 0, 0, 1, 2
"d:\working\UniqueStudioNew\week4\web\handlers\handleDb.go", "Go", 0, 0, 33, 0, 0, 7, 40
"d:\working\UniqueStudioNew\week4\web\main.go", "Go", 0, 0, 11, 0, 0, 4, 15
"d:\working\UniqueStudioNew\week4\web\model\user.go", "Go", 0, 0, 8, 0, 0, 3, 11
"d:\working\UniqueStudioNew\week4\web\routers\dailyreport.go", "Go", 0, 0, 19, 0, 0, 4, 23
"d:\working\UniqueStudioNew\week4\web\routers\login.go", "Go", 0, 0, 145, 0, 0, 16, 161
"d:\working\UniqueStudioNew\week4\web\routers\oauth2.go", "Go", 0, 0, 14, 0, 0, 5, 19
"d:\working\UniqueStudioNew\week4\web\routers\routers.go", "Go", 0, 0, 6, 0, 27, 3, 36
"d:\working\UniqueStudioNew\week4\web\templets\authorization.html", "HTML", 34, 0, 0, 0, 0, 0, 34
"d:\working\UniqueStudioNew\week4\web\templets\index.html", "HTML", 11, 0, 0, 0, 0, 1, 12
"d:\working\UniqueStudioNew\week4\web\templets\login.html", "HTML", 51, 0, 0, 0, 0, 6, 57
"d:\working\UniqueStudioNew\week4\web\templets\register.html", "HTML", 49, 0, 0, 0, 2, 6, 57
"d:\working\UniqueStudioNew\week4\web\templets\thirdpage.html", "HTML", 24, 0, 0, 0, 0, 1, 25
"d:\working\UniqueStudioNew\week4\web\templets\writereport.html", "HTML", 19, 0, 0, 0, 0, 1, 20
"Total", "-", 188, 34, 281, 212, 29, 78, 822
