"filename", "language", "Go", "XML", "HTML", "Go Checksum File", "comment", "blank", "total"
"d:\working\UniqueStudioNew\week4\dailyReport\index.go", "Go", 1, 0, 0, 0, 0, 1, 2
"d:\working\UniqueStudioNew\week4\dbHandle\postgresqlHandle.go", "Go", 13, 0, 0, 0, 0, 5, 18
"d:\working\UniqueStudioNew\week4\dbHandle\redisHandle.go", "Go", 23, 0, 0, 0, 0, 6, 29
"d:\working\UniqueStudioNew\week4\go.mod", "XML", 0, 34, 0, 0, 0, 3, 37
"d:\working\UniqueStudioNew\week4\go.sum", "Go Checksum File", 0, 0, 0, 212, 0, 1, 213
"d:\working\UniqueStudioNew\week4\thirdParty\main.go", "Go", 52, 0, 0, 0, 0, 7, 59
"d:\working\UniqueStudioNew\week4\web\handlers\handleCahche.go", "Go", 30, 0, 0, 0, 0, 8, 38
"d:\working\UniqueStudioNew\week4\web\handlers\handleDb.go", "Go", 62, 0, 0, 0, 0, 11, 73
"d:\working\UniqueStudioNew\week4\web\main.go", "Go", 11, 0, 0, 0, 0, 4, 15
"d:\working\UniqueStudioNew\week4\web\model\privilege.go", "Go", 26, 0, 0, 0, 0, 5, 31
"d:\working\UniqueStudioNew\week4\web\model\report.go", "Go", 10, 0, 0, 0, 0, 3, 13
"d:\working\UniqueStudioNew\week4\web\model\user.go", "Go", 8, 0, 0, 0, 0, 3, 11
"d:\working\UniqueStudioNew\week4\web\routers\dailyreport.go", "Go", 55, 0, 0, 0, 0, 8, 63
"d:\working\UniqueStudioNew\week4\web\routers\login.go", "Go", 165, 0, 0, 0, 0, 17, 182
"d:\working\UniqueStudioNew\week4\web\routers\oauth2.go", "Go", 130, 0, 0, 0, 6, 15, 151
"d:\working\UniqueStudioNew\week4\web\routers\privSystem.go", "Go", 41, 0, 0, 0, 0, 8, 49
"d:\working\UniqueStudioNew\week4\web\routers\routers.go", "Go", 10, 0, 0, 0, 48, 5, 63
"d:\working\UniqueStudioNew\week4\web\templets\admin.html", "HTML", 0, 0, 24, 0, 0, 0, 24
"d:\working\UniqueStudioNew\week4\web\templets\authorization.html", "HTML", 0, 0, 45, 0, 0, 0, 45
"d:\working\UniqueStudioNew\week4\web\templets\index.html", "HTML", 0, 0, 62, 0, 0, 7, 69
"d:\working\UniqueStudioNew\week4\web\templets\login.html", "HTML", 0, 0, 44, 0, 0, 6, 50
"d:\working\UniqueStudioNew\week4\web\templets\register.html", "HTML", 0, 0, 49, 0, 2, 6, 57
"d:\working\UniqueStudioNew\week4\web\templets\thirdPartyPage.html", "HTML", 0, 0, 30, 0, 0, 1, 31
"d:\working\UniqueStudioNew\week4\web\templets\writeReport.html", "HTML", 0, 0, 51, 0, 0, 5, 56
"Total", "-", 637, 34, 305, 212, 56, 135, 1379
